volume,open,high,low,close,caldt
411254220.0,49.244,49.295,47.595,48.168,2024-01-02
320896170.0,47.485,48.1841,47.32,47.569,2024-01-03
306534890.0,47.767,48.5,47.508,47.998,2024-01-04
415039270.0,48.462,49.547,48.306,49.097,2024-01-05
642509900.0,49.512,52.275,49.479,52.253,2024-01-08
773100060.0,52.401,54.325,51.69,53.14,2024-01-09
533795760.0,53.616,54.6,53.489,54.35,2024-01-10
596758770.0,54.999,55.346,53.56,54.822,2024-01-11
352993600.0,54.62,54.97,54.3301,54.71,2024-01-12
449579730.0,55.018,56.835,54.9,56.382,2024-01-16
474394440.0,56.347,56.4707,54.74,56.053,2024-01-17
491650360.0,57.26,57.6,56.107,57.107,2024-01-18
543501480.0,57.989,59.5,57.225,59.491,2024-01-19
452954630.0,60.049,60.331,59.07,59.654,2024-01-22
294654450.0,59.57,59.91,58.585,59.873,2024-01-23
560270760.0,60.304,62.849,59.938,61.362,2024-01-24
482776840.0,62.35,62.719,60.85,61.617,2024-01-25
390308590.0,60.96,61.783,60.573,61.031,2024-01-26
348732980.0,61.232,62.489,60.907,62.465,2024-01-29
410735300.0,62.9,63.493,62.26,62.774,2024-01-30
453794870.0,61.44,62.269,60.7,61.527,2024-01-31
369145790.0,62.1,63.191,61.65,63.027,2024-02-01
476577650.0,63.974,66.6,63.69,66.16,2024-02-02
680078010.0,68.225,69.497,67.205,69.332,2024-02-05
683111360.0,69.63,69.754,66.3,68.223,2024-02-06
495574550.0,68.319,70.22,67.6,70.099,2024-02-07
414422110.0,70.074,70.794,69.455,69.641,2024-02-08
436636890.0,70.533,72.185,70.212,72.133,2024-02-09
613710180.0,72.6,74.611,71.25,72.248,2024-02-12
602580150.0,70.4,73.45,69.62,72.128,2024-02-13
504917420.0,73.202,74.236,71.938,73.9,2024-02-14
420121810.0,73.869,73.975,72.4,72.658,2024-02-15
495326620.0,74.1,74.402,72.501,72.613,2024-02-16
704833100.0,71.947,71.956,67.734,69.452,2024-02-20
690298130.0,68.006,68.888,66.248,67.472,2024-02-21
865099740.0,75.025,78.575,74.22,78.538,2024-02-22
829388370.0,80.79,82.394,77.57,78.817,2024-02-23
503972730.0,79.7,80.646,78.505,79.092,2024-02-26
391705240.0,79.381,79.48,77.162,78.701,2024-02-27
393110400.0,77.62,78.933,77.125,77.663,2024-02-28
507288980.0,79.094,79.99,78.35,79.112,2024-02-29
479135100.0,80.0,82.3,79.435,82.279,2024-03-01
615616450.0,84.13,87.695,83.719,85.237,2024-03-04
520639300.0,85.27,86.097,83.417,85.964,2024-03-05
582520300.0,88.022,89.724,87.03,88.7,2024-03-06
608119160.0,90.158,92.767,89.602,92.669,2024-03-07
1142269060.0,95.1379,97.4,86.506,87.528,2024-03-08
678364120.0,86.429,88.797,84.166,85.774,2024-03-11
668075150.0,88.049,91.96,86.1501,91.913,2024-03-12
635712890.0,91.055,91.504,88.435,90.888,2024-03-13
602318160.0,89.577,90.646,86.6,87.944,2024-03-14
642086160.0,86.93,89.546,86.257,87.8365,2024-03-15
668975930.0,90.388,92.405,87.085,88.455,2024-03-18
672171270.0,86.7,90.544,85.01,89.398,2024-03-19
479062790.0,89.797,90.41,88.223,90.372,2024-03-20
480372310.0,92.3,92.648,90.405,91.435,2024-03-21
586719360.0,91.141,94.778,90.834,94.289,2024-03-22
552136080.0,93.941,96.766,93.51,95.002,2024-03-25
513647580.0,95.851,96.375,92.502,92.561,2024-03-26
586067230.0,93.112,93.24,89.123,90.25,2024-03-27
435212270.0,90.0,91.3,89.193,90.356,2024-03-28
452441490.0,90.299,92.225,89.204,90.363,2024-04-01
433063550.0,88.448,90.094,87.62,89.452,2024-04-02
370066550.0,88.484,90.374,88.4,88.964,2024-04-03
434964920.0,90.406,90.634,85.88,85.905,2024-04-04
399678460.0,86.866,88.481,85.926,88.008,2024-04-05
283220000.0,88.7,88.83,86.732,87.133,2024-04-08
503547350.0,87.442,87.635,83.022,85.354,2024-04-09
431928530.0,83.926,87.4,83.709,87.039,2024-04-10
431637270.0,87.42,90.739,86.926,90.616,2024-04-11
426804790.0,89.699,90.175,87.53,88.186,2024-04-12
443076950.0,89.098,90.613,85.929,86.001,2024-04-15
370453020.0,86.4325,88.118,86.0639,87.415,2024-04-16
495399510.0,88.34,88.775,83.95,84.035,2024-04-17
447260340.0,84.97,86.19,82.402,84.671,2024-04-18
875198000.0,83.15,84.324,75.606,76.2,2024-04-19
596340510.0,78.104,80.073,76.4,79.518,2024-04-22
438559370.0,80.769,82.769,80.264,82.423,2024-04-23
512207530.0,83.95,84.082,79.183,79.677,2024-04-24
424640730.0,78.868,83.323,78.223,82.632,2024-04-25
551010780.0,83.818,88.3309,83.387,87.735,2024-04-26
388970760.0,87.595,87.992,85.266,87.757,2024-04-29
363708700.0,87.24,88.819,86.3,86.402,2024-04-30
559863170.0,85.077,86.0,81.2546,83.041,2024-05-01
377897540.0,84.449,86.237,83.2,85.817,2024-05-02
398340720.0,87.789,89.281,87.04,88.789,2024-05-03
376202550.0,89.39,92.22,89.055,92.14,2024-05-06
437341610.0,91.098,91.781,89.011,90.554,2024-05-07
325721020.0,89.4825,91.194,89.42,90.412,2024-05-08
378012680.0,90.529,91.072,88.231,88.747,2024-05-09
335325410.0,90.3045,91.401,89.227,89.878,2024-05-10
289680170.0,90.478,90.998,88.529,90.399,2024-05-13
296507080.0,89.599,91.651,88.934,91.356,2024-05-14
417735450.0,92.472,94.862,91.599,94.63,2024-05-15
323951820.0,94.91,95.819,94.103,94.359,2024-05-16
359691030.0,94.369,94.74,91.806,92.479,2024-05-17
318764460.0,93.75,95.2,93.44,94.78,2024-05-20
328946460.0,93.599,95.4,93.18,95.386,2024-05-21
548647990.0,95.459,96.02,93.249,94.95,2024-05-22
835065280.0,102.028,106.32,101.52,103.799,2024-05-23
429493670.0,104.449,106.475,103.0,106.469,2024-05-24
652727890.0,110.244,114.939,109.883,113.901,2024-05-28
557441930.0,113.05,115.492,110.901,114.825,2024-05-29
487350330.0,114.65,115.8192,109.663,110.5,2024-05-30
613262500.0,112.52,112.717,106.94,109.633,2024-05-31
438391760.0,113.621,115.0,112.003,115.0,2024-06-03
403324010.0,115.716,116.6,114.045,116.437,2024-06-04
528401780.0,118.371,122.4495,117.468,122.44,2024-06-05
664696190.0,124.048,125.587,118.32,120.998,2024-06-06
412385800.0,119.77,121.6917,118.022,120.888,2024-06-07
314162650.0,120.37,195.95,117.01,121.79,2024-06-10
222551158.0,121.77,122.87,118.74,120.91,2024-06-11
299595001.0,123.06,126.88,122.57,125.2,2024-06-12
260704537.0,129.39,129.8,127.16,129.61,2024-06-13
309320376.0,129.96,132.84,128.32,131.88,2024-06-14
288504444.0,132.99,133.73,129.58,130.98,2024-06-17
294335054.0,131.14,136.33,130.69,135.58,2024-06-18
517768425.0,139.8,140.76,129.52,130.78,2024-06-20
655484664.0,127.12,130.63,124.3,126.57,2024-06-21
476060866.0,123.24,124.46,118.04,118.11,2024-06-24
425787456.0,121.2,126.5,119.32,126.09,2024-06-25
362975918.0,126.13,128.12,122.6,126.4,2024-06-26
252571693.0,124.1,126.41,122.92,123.99,2024-06-27
315516740.0,124.58,127.71,122.75,123.54,2024-06-28
284885534.0,123.47,124.84,118.83,124.3,2024-07-01
218373969.0,121.13,123.41,121.03,122.67,2024-07-02
215748955.0,121.66,128.28,121.36,128.28,2024-07-03
214176689.0,127.38,128.85,125.68,125.83,2024-07-05
237677322.0,127.49,130.77,127.04,128.2,2024-07-08
287020820.0,130.35,133.82,128.65,131.38,2024-07-09
248978569.0,134.03,135.1,132.42,134.91,2024-07-10
374782738.0,135.75,136.15,127.05,127.4,2024-07-11
252680535.0,128.26,131.92,127.22,129.24,2024-07-12
208326164.0,130.56,131.39,127.18,128.44,2024-07-15
214769515.0,128.44,129.04,124.58,126.36,2024-07-16
390086189.0,121.35,121.85,116.72,117.99,2024-07-17
320979530.0,121.85,122.4,116.56,121.09,2024-07-18
217223800.0,120.35,121.6,117.37,117.93,2024-07-19
258068943.0,120.35,124.07,119.86,123.54,2024-07-22
173910983.0,122.78,124.69,122.1,122.59,2024-07-23
327776884.0,119.17,119.95,113.44,114.25,2024-07-24
460067019.0,113.04,116.63,106.3,112.28,2024-07-25
293399073.0,116.19,116.2,111.58,113.06,2024-07-26
248152068.0,113.69,116.28,111.3,111.59,2024-07-29
486833274.0,111.52,111.99,102.54,103.73,2024-07-30
473174182.0,112.9,118.34,110.88,117.02,2024-07-31
523462326.0,117.53,120.16,106.8104,109.21,2024-08-01
482027464.0,103.76,108.72,101.37,107.27,2024-08-02
552842375.0,92.06,103.41,90.69,100.45,2024-08-05
409012089.0,103.84,107.71,100.55,104.25,2024-08-06
411440423.0,107.81,108.8,98.69,98.91,2024-08-07
391910023.0,102.0,105.5,97.52,104.97,2024-08-08
290844157.0,105.64,106.6,103.43,104.75,2024-08-09
325559870.0,106.32,111.07,106.26,109.02,2024-08-12
312646660.0,112.44,116.23,111.58,116.14,2024-08-13
339246407.0,118.53,118.6,114.07,118.08,2024-08-14
318086673.0,118.76,123.24,117.47,122.86,2024-08-15
302589872.0,121.94,125.0,121.18,124.58,2024-08-16
318333577.0,124.28,130.0,123.42,130.0,2024-08-19
300087415.0,128.4,129.88,125.89,127.25,2024-08-20
257883572.0,127.315,129.35,126.66,128.5,2024-08-21
376189076.0,130.02,130.75,123.1,123.74,2024-08-22
323230332.0,125.86,129.6,125.22,129.37,2024-08-23
331964672.0,129.57,131.26,124.37,126.46,2024-08-26
303134573.0,125.05,129.2,123.88,128.3,2024-08-27
448101115.0,128.12,128.33,122.64,125.61,2024-08-28
453023305.0,121.355,124.43,116.71,117.59,2024-08-29
333751583.0,119.53,121.75,117.22,119.37,2024-08-30
477155100.0,116.01,116.21,107.29,108.0,2024-09-03
372470291.0,105.41,113.27,104.12,106.21,2024-09-04
306850696.0,104.985,109.65,104.76,107.21,2024-09-05
413638098.0,108.04,108.15,100.95,102.83,2024-09-06
273912015.0,104.88,106.55,103.69,106.47,2024-09-09
268283736.0,107.81,109.4,104.95,108.1,2024-09-10
441422370.0,109.39,117.19,107.42,116.91,2024-09-11
367100496.0,116.84,120.79,115.38,119.14,2024-09-12
238358328.0,119.08,119.955,117.6,119.1,2024-09-13
248772308.0,116.79,118.18,114.36,116.78,2024-09-16
231925876.0,118.17,118.8,114.83,115.59,2024-09-17
310318937.0,115.89,117.7,113.22,113.37,2024-09-18
293506438.0,117.35,119.66,117.25,117.87,2024-09-19
382462428.0,117.06,118.6181,115.3901,116.0,2024-09-20
206228490.0,116.55,116.99,114.86,116.26,2024-09-23
354966772.0,116.515,121.8,115.38,120.87,2024-09-24
284692948.0,122.02,124.94,121.61,123.51,2024-09-25
302582868.0,126.8,127.665,121.8,124.04,2024-09-26
271009175.0,123.97,124.03,119.26,121.4,2024-09-27
227053651.0,118.31,121.5,118.15,121.44,2024-09-30
302094485.0,121.765,122.4351,115.79,117.0,2024-10-01
221845887.0,116.44,119.38,115.14,118.85,2024-10-02
277117973.0,120.92,124.36,120.3401,122.85,2024-10-03
244465552.0,124.94,125.04,121.83,124.92,2024-10-04
346250233.0,124.99,130.64,124.95,127.72,2024-10-07
285722485.0,130.26,133.48,129.42,132.89,2024-10-08
246191612.0,134.11,134.52,131.38,132.65,2024-10-09
242311337.0,131.91,135.0,131.0,134.81,2024-10-10
170209474.0,134.01,135.78,133.66,134.8,2024-10-11
232347668.0,136.47,139.6,136.3,138.07,2024-10-14
377831021.0,137.87,138.57,128.74,131.6,2024-10-15
264879720.0,133.98,136.62,131.58,135.72,2024-10-16
306435921.0,139.34,140.89,136.87,136.93,2024-10-17
176090184.0,138.665,138.9,137.28,138.0,2024-10-18
264554514.0,138.13,143.71,138.0,143.71,2024-10-21
226311589.0,142.91,144.42,141.78,143.59,2024-10-22
285930038.0,142.03,142.43,137.46,139.56,2024-10-23
172354888.0,140.82,141.35,138.46,140.41,2024-10-24
205122109.0,140.93,144.13,140.8,141.54,2024-10-25
173586745.0,143.0,143.14,140.05,140.52,2024-10-28
157593634.0,140.285,142.2598,138.9,141.25,2024-10-29
179418082.0,139.54,140.33,136.81,139.335,2024-10-30
270039641.0,137.6,137.61,132.1106,132.76,2024-10-31
207127838.0,134.7,137.31,134.57,135.4,2024-11-01
187528173.0,137.21,138.96,135.57,136.05,2024-11-04
160537373.0,137.45,140.3701,137.33,139.91,2024-11-05
242043945.0,142.96,146.49,141.96,145.61,2024-11-06
207323303.0,146.39,148.93,146.17,148.88,2024-11-07
175665830.0,148.77,149.77,146.26,147.63,2024-11-08
182325620.0,148.68,148.85,143.57,145.26,2024-11-11
198634738.0,146.78,149.65,146.01,148.29,2024-11-12
191903267.0,149.07,149.33,145.9,146.27,2024-11-13
194463301.0,147.64,149.0,145.55,146.76,2024-11-14
250132869.0,144.87,145.24,140.08,141.98,2024-11-15
221865993.0,139.5,141.55,137.15,140.15,2024-11-18
227834912.0,141.32,147.13,140.99,147.01,2024-11-19
309871654.0,147.41,147.56,142.73,145.89,2024-11-20
400946570.0,149.35,152.89,140.7,146.67,2024-11-21
236406154.0,145.93,147.16,141.1,141.95,2024-11-22
344941875.0,141.99,142.05,135.82,136.02,2024-11-25
190287654.0,137.7,139.3,135.67,136.92,2024-11-26
226370912.0,135.01,137.22,131.8,135.34,2024-11-27
141863156.0,136.78,139.35,136.05,138.25,2024-11-29
171682777.0,138.83,140.45,137.825,138.63,2024-12-02
164413965.0,138.26,140.54,137.95,140.26,2024-12-03
231224295.0,141.995,145.79,140.29,145.14,2024-12-04
172621180.0,145.11,146.54,143.95,145.06,2024-12-05
188505573.0,144.6,145.7,141.31,142.44,2024-12-06
189308625.0,138.97,139.95,137.13,138.81,2024-12-09
210020888.0,139.01,141.82,133.79,135.07,2024-12-10
184905192.0,137.36,140.17,135.21,139.31,2024-12-11
159211393.0,137.08,138.44,135.8,137.34,2024-12-12
231514881.0,138.94,139.6,132.54,134.25,2024-12-13
237951130.0,134.18,134.4,130.42,132.0,2024-12-16
259410263.0,129.09,131.59,126.86,130.39,2024-12-17
277444533.0,133.86,136.7,128.28,128.91,2024-12-18
209719210.0,131.76,134.03,129.55,130.68,2024-12-19
306528553.0,129.81,135.28,128.22,134.7,2024-12-20
176053506.0,136.28,139.79,135.1201,139.67,2024-12-23
